DanhMuc,CauHoi,CauTraLoi
,Nhờ người khác thi hộ bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác kiểm tra hộ bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác kiểm tra hộ bị xử lý sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác kiểm tra hộ bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,"Sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý như thế nào","Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,"Sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý gì","Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,"Sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý sao","Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép tiểu luận bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép tiểu luận bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép tiểu luận bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép đồ án bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép đồ án bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép đồ án bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép khóa luận tốt nghiệp bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép khóa luận tốt nghiệp bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Sao chép khóa luận tốt nghiệp bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ tiểu luận bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ tiểu luận bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ tiểu luận bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ đồ án bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ đồ án bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ đồ án bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ khóa luận tốt nghiệp bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ khóa luận tốt nghiệp bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác làm hộ khóa luận tốt nghiệp bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép tiểu luận bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép tiểu luận bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép tiểu luận bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép đồ án bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép đồ án bị xử lý sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép đồ án bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép khóa luận tốt nghiệp bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép khóa luận tốt nghiệp bị xử lý gì ,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác sao chép khóa luận tốt nghiệp bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,"Có hành vi thông đồng với sinh viên khác để sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý như thế nào","Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,"Có hành vi thông đồng với sinh viên khác để sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,"Có hành vi thông đồng với sinh viên khác để sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý ra sao","Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép tiểu luận bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép tiểu luận bị xử lý ra sao,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép tiểu luận bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép đồ án bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép đồ án bị xử lý ra sao,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép đồ án bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép khóa luận tốt nghiệp bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép khóa luận tốt nghiệp bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Có hành vi thông đồng với sinh viên khác để sao chép khóa luận tốt nghiệp bị xử lý ra sao,"Tùy theo mức độ, xử lý từ cảnh cáo lần 2 đến buộc thôi học "
,Tổ chức sinh hoạt công dân hộ bị xử lý như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức sinh hoạt công dân hộ bị xử lý gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức sinh hoạt công dân hộ bị xử lý ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức học hộ bị xử lý như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức học hộ bị xử lý gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức học hộ bị xử lý ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức kiểm tra hộ bị xử lý như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức kiểm tra hộ bị xử lý gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức kiểm tra hộ bị xử lý ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức thi hộ bị xử gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức thi hộ bị xử ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức thi hộ bị xử như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Tổ chức làm hộ tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý như thế nào",Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Tổ chức làm hộ tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý gì",Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Tổ chức làm hộ tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý ra sao",Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Tổ chức sinh hoạt công dân hộ, học hộ, kiểm tra hộ, thi hộ bị xử lý như thế nào",Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Tổ chức sinh hoạt công dân hộ, học hộ, kiểm tra hộ, thi hộ bị xử lý gì",Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Tổ chức sinh hoạt công dân hộ, học hộ, kiểm tra hộ, thi hộ bị xử lý ra sao",Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ tiểu luận bị xử lý như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ tiểu luận bị xử lý gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ tiểu luận bị xử lý ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ đồ án bị xử lý như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ đồ án bị xử lý gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ đồ án bị xử lý ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ khóa luận tốt nghiệp bị xử lý như thế nào,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ khóa luận tốt nghiệp bị xử lý gì,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,Tổ chức làm hộ khóa luận tốt nghiệp bị xử lý ra sao,Hình thức xử lý : Buộc thôi học và tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật 
,"Viết, vẽ những nội dung không liên quan trong bài thi bị xử lý như thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Viết, vẽ những nội dung không liên quan trong bài thi bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Viết, vẽ những nội dung không liên quan trong bài thi bị xử lý ra sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Viết những nội dung không liên quan trong bài thi bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Viết những nội dung không liên quan trong bài thi bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Viết những nội dung không liên quan trong bài thi bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Vẽ những nội dung không liên quan trong bài thi bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Vẽ những nội dung không liên quan trong bài thi bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Vẽ những nội dung không liên quan trong bài thi bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức đình chỉ thi bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức đình chỉ thi bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức đình chỉ thi bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức cảnh cáo bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Khiển trách, lần 2 - Cảnh cáo, lần 3 - Cảnh cáo lần 2, lần 4 - Đình chỉ học tập có thời hạn, lần 5 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức cảnh cáo bị xử lý gì,"Hình thức xử lý: Lần 1 - Khiển trách, lần 2 - Cảnh cáo, lần 3 - Cảnh cáo lần 2, lần 4 - Đình chỉ học tập có thời hạn, lần 5 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức cảnh cáo bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Khiển trách, lần 2 - Cảnh cáo, lần 3 - Cảnh cáo lần 2, lần 4 - Đình chỉ học tập có thời hạn, lần 5 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức nhắc nhở bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức nhắc nhở bị xử lý gì,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,Sinh viên vi phạm quy chế thi và lập biên bản ở mức nhắc nhở bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Nghiêm khắc phê bình, lần 2 - Khiển trách, lần 3 - Cảnh cáo, lần 4 - Cảnh cáo lần 2, lần 5 - Đình chỉ học tập có thời hạn, lần 6 - Buộc thôi học"
,Sử dụng văn bằng đầu vào không hợp pháp bị xử lý như thế nào,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng văn bằng đầu vào không hợp pháp bị xử lý gì,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng văn bằng đầu vào không hợp pháp bị xử lý ra sao,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng văn bằng giả bị xử lý như thế nào,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng văn bằng giả bị xử lý gì,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng văn bằng giả bị xử lý ra sao,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng chứng chỉ giả bị xử lý như thế nào,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng chứng chỉ giả bị xử lý gì,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng chứng chỉ giả bị xử lý ra sao,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng bảng điểm giả của trường bị xử lý như thế nào,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng bảng điểm giả của trường bị xử lý gì ,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Sử dụng bảng điểm giả của trường bị xử lý ra sao,Hình thức xử lý: Buộc thôi học và hủy kết quả học tập. Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật
,Làm giả chứng chỉ nộp vào trường để hưởng quyền lợi bị xử lý như thế nào,"Hình thức xử lý: Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học; tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật"
,Làm giả chứng chỉ nộp vào trường để hưởng quyền lợi bị xử lý gì,"Hình thức xử lý: Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học; tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật"
,Làm giả chứng chỉ nộp vào trường để hưởng quyền lợi bị xử lý ra sao,"Hình thức xử lý: Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học; tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật"
,Sử dụng chứng chỉ giả nộp vào trường để hưởng quyền lợi bị xử lý như thế nào,"Hình thức xử lý: Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học; tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật"
,Sử dụng chứng chỉ giả nộp vào trường để hưởng quyền lợi bị xử lý gì,"Hình thức xử lý: Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học; tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật"
,Sử dụng chứng chỉ giả nộp vào trường để hưởng quyền lợi bị xử lý ra sao,"Hình thức xử lý: Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học; tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo qui định của pháp luật"
,Giả mạo chữ ký nộp vào trường để được hưởng quyền lợi bị xử lý như thế nào,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Giả mạo chữ ký nộp vào trường để được hưởng quyền lợi bị xử lý gì,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Giả mạo chữ ký nộp vào trường để được hưởng quyền lợi bị xử lý ra sao,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Giả mạo hồ sơ nộp vào trường để được hưởng quyền lợi bị xử lý như thế nào,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Giả mạo hồ sơ nộp vào trường để được hưởng quyền lợi bị xử lý gì,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Giả mạo hồ sơ nộp vào trường để được hưởng quyền lợi bị xử lý ra sao,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Gửi khiếu nại vượt cấp bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gửi khiếu nại vượt cấp bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gửi khiếu nại vượt cấp bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Lơ là, không quan tâm đến quy định nhà trường bị xử lý như thế nào","Tùy vào mức độ và hậu quả của việc vi phạm, xử lý sinh viên từ mức nghiêm khắc phê bình đến buộc thôi học"
,"Lơ là, không quan tâm đến quy định nhà trường bị xử lý gì","Tùy vào mức độ và hậu quả của việc vi phạm, xử lý sinh viên từ mức nghiêm khắc phê bình đến buộc thôi học"
,"Lơ là, không quan tâm đến quy định nhà trường bị xử lý ra sao","Tùy vào mức độ và hậu quả của việc vi phạm, xử lý sinh viên từ mức nghiêm khắc phê bình đến buộc thôi học"
,Không quan tâm đến quy định nhà trường bị xử lý như thế nào,"Tùy vào mức độ và hậu quả của việc vi phạm, xử lý sinh viên từ mức nghiêm khắc phê bình đến buộc thôi học"
,Không quan tâm đến quy định nhà trường bị xử lý gì,"Tùy vào mức độ và hậu quả của việc vi phạm, xử lý sinh viên từ mức nghiêm khắc phê bình đến buộc thôi học"
,Không quan tâm đến quy định nhà trường bị xử lý ra sao,"Tùy vào mức độ và hậu quả của việc vi phạm, xử lý sinh viên từ mức nghiêm khắc phê bình đến buộc thôi học"
,Khai báo sai thông tin sinh viên bị xử lý như thế nào,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Khai báo sai thông tin sinh viên bị xử lý gì,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Khai báo sai thông tin sinh viên bị xử lý ra sao,"Hình thức xử lý : Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Uống rượu, bia trong khuôn viên Trường; say rượu, bia khi đến Trường; Hút thuốc lá/thuốc lá điện tử trong Trường bị xử lý như thế nào",
,"Uống rượu, bia trong khuôn viên Trường; say rượu, bia khi đến Trường; Hút thuốc lá/thuốc lá điện tử trong Trường bị xử lý gì",
,"Uống rượu, bia trong khuôn viên Trường; say rượu, bia khi đến Trường; Hút thuốc lá/thuốc lá điện tử trong Trường bị xử lý ra sao",
,Uống rượu bia trong khuôn viên trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Uống rượu bia trong khuôn viên trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Uống rượu bia trong khuôn viên trường bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Say rượu bia khi đến trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Say rượu bia khi đến trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Say rượu bia khi đến trường bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Hút thuốc lá trong trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Hút thuốc lá trong trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Hút thuốc lá trong trường bị xử lý ra sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Hút thuốc lá điện tử trong trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Hút thuốc lá điện tử trong trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
